Protocol,Source Port,Destination Port,Payload Length,First 1 Byte,First 2 Bytes,First 3 Bytes,First 5 Bytes,First 8 Bytes,First 16 Bytes
TCP,2042,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,2027,80,1,0,0,0,0,0,0
TCP,80,2027,12,1,257,65797,4312074802,72344610375841583,310717735606101868315260720
UDP,57550,53,44,82,21228,5434369,356146806784,5975151905125498880,110222097995388133475935414653163745328
UDP,53,57550,121,82,21228,5434497,356155228928,5975293205254569984,110224704522706690258378186130562560048
UDP,57550,53,45,247,63482,16251393,1065051291648,17868595571057557504,329617409455918740091863006548013298947
UDP,53,57550,99,247,63482,16251521,1065059713792,17868736871186628608,329620015983237296874305778025412113667
UDP,57550,53,42,110,28365,7261441,475885797376,7984038813909450752,147279520674751198260757566954774004024
UDP,53,57550,99,110,28365,7261569,475894219520,7984180114038521856,147282127202069755043200338432172818744
UDP,59676,1900,97,77,19757,5057875,331472913729,5561192671786189640,102585897961028881314394952638804545583
TCP,2028,443,1,0,0,0,0,0,0
TCP,443,2028,12,1,257,65797,4312074889,72344611830606161,310717741854268155659266386
TCP,2029,80,1,0,0,0,0,0,0
UDP,57578,53,40,234,60139,15395585,1008965058560,16927624723913834496,312259561057836811329685557319413596469
UDP,53,57578,72,234,60139,15395713,1008973479936,16927766011158003713,312262167347470880587781778614913401141
UDP,57578,53,46,181,46403,11879169,778513219584,13061284443816263680,240938171409002419024190659741279728944
UDP,53,57578,103,181,46403,11879297,778521641728,13061425743945334784,240940777936320975806633431218678543664
TCP,80,2029,12,1,257,65797,4312074769,72344609823494110,310717733233787535199670239
TCP,2043,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,2044,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,63467,53,52,123,31507,8065793,528599810048,8868433190734331904,163593717404267626669600386421221717879
TCP,80,2043,12,2,516,132101,8657415169,145247324292056066,623832507665887156085392137
TCP,2043,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,53,63467,84,123,31507,8065921,528608231424,8868574477978501122,163596323693901695946143351790431074167
TCP,80,2044,12,2,516,132101,8657417217,145247358651794434,623832655239839745761805065
TCP,2044,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,63467,53,52,86,22251,5696257,373309898752,6263100806300499968,115533817681669262139922112397960509303
UDP,53,63467,111,86,22251,5696385,373318320128,6263242093544669184,115536423971303331379571871094727473015
TCP,2045,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,50530,53,48,39,10151,2598657,170305585152,2857253588101562368,52707025693397847834703106814396018742
UDP,53,50530,128,39,10151,2598785,170314006528,2857394875345731589,52709631983031917166586304404734029878
UDP,55765,53,48,23,5897,1509633,98935308288,1659859037174431744,30618994857190691102934375429893730358
UDP,53,55765,98,23,5897,1509761,98943729664,1660000324418600960,30621601146824760342584134126660694070
TCP,80,2045,12,2,516,132101,8657417217,145247358651925254,623832655240401613383336962
TCP,2045,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2015,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2007,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2014,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,55775,53,45,231,59259,15170305,994201108480,16679926744408457216,307690339822326163016578720549716701443
UDP,53,55775,102,231,59259,15170433,994209530624,16680068044537528320,307692946349644719799021492027115516163
UDP,55775,53,43,114,29230,7482881,490398089216,8227514668764168192,151770857457383824159436446279566243587
UDP,53,55775,107,114,29230,7483009,490406510592,8227655956008337409,151773463747017893417532667575066048259
UDP,55775,53,45,92,23786,6089217,399062925312,6695164895551356928,123503993359520222549716424263308752952
TCP,2033,443,1,0,0,0,0,0,0
TCP,80,1997,6,0,0,0,0,0,0
TCP,1997,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1997,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1997,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,443,2033,12,1,257,65797,4312074791,72344610189261322,310717734804745749054536203
TCP,1990,80,1,0,0,0,0,0,0
TCP,80,1990,12,1,257,65797,4312074973,72344613236282316,310717747891601271556969421
TCP,2041,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,53,55775,116,92,23786,6089345,399071347456,6695306195680428032,123506599886838779332159195740707567672
TCP,2042,443,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
UDP,55803,53,43,219,56235,14396161,943466807296,15828746414835433472,291988834122116844267902499650155394562
UDP,53,55803,113,219,56235,14396289,943475229440,15828887714964504576,291991440649435401050345271127554209282
UDP,55803,53,44,91,23382,5985793,392284930048,6581449004960251904,121406305428672152187790103746287253763
UDP,53,55803,114,91,23382,5985921,392293352192,6581590305089323008,121408911955990708970232875223686068483
UDP,55803,53,44,39,10204,2612225,171194777600,2872171761867227136,52982217426900193699015223119841407031
UDP,53,55803,114,39,10204,2612353,171203199744,2872313061996298240,52984823954218750481457994597240221751
UDP,55803,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
UDP,55803,53,43,147,37755,9665281,633423855616,10627088845222510592,196035188176393229692658927486167562497
TCP,2046,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,80,2046,12,2,516,132101,8657417217,145247358651925257,623832655240401626318635008
TCP,2046,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2046,80,75,71,18245,4670804,306105819183,5135603447297696875,94735162456361133424042160411040379510
TCP,80,2046,242,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166546980115935094
TCP,80,2046,6,0,0,0,0,0,0
TCP,2046,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2046,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2046,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1987,80,1,0,0,0,0,0,0
UDP,15005,4333,11,69,17735,4540269,297551116921,4992079359637714018,83753193705783609835092088
TCP,80,1987,12,1,257,65797,4312074933,72344612571370711,310717745035827672686187736
UDP,55803,53,42,181,46450,11891201,779301748736,13074513767721664512,241182209361353555922731593068719899192
UDP,55803,53,44,235,60282,15432193,1011364200448,16967875645583458304,313002059508607291680565418294525376049
UDP,55803,53,43,208,53497,13695233,897530789888,15058067928601657344,277772325323448486220986000700750377987
UDP,53,55803,105,208,53497,13695361,897539212032,15058209228730728448,277774931850767043003428772178149192707
TCP,1574,1026,1,0,0,0,0,0,0
TCP,1026,1574,6,0,0,0,0,0,0
TCP,1695,80,321,72,18501,4736321,310399550496,5207640304977404786,96064007933852943737671032613713900335
TCP,2047,21,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,21,2047,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2047,94,50,12850,3289648,215590379592,3617006365941771296,66721990745506091437220972488277041273
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2047,21,16,85,21843,5591877,366469272096,6148334135323749999,113416746273969525659574449563803782410
TCP,21,2047,37,51,13107,3355441,219902189648,3689346534603846515,68056431323064376907796337996829189489
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2047,21,26,80,20545,5259603,344693363488,5782995013011861370,106677428984568445070144233108666677345
TCP,21,2047,48,53,13619,3486512,228492058702,3833460623135437856,70714867031622563134259521977883828329
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2048,21,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,21,2048,12,2,516,132101,8657417217,145247358651925248,623832655240401587613533186
TCP,21,2047,6,0,0,0,0,0,0
TCP,21,2047,6,0,0,0,0,0,0
TCP,2048,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2047,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,21,2048,94,50,12850,3289648,215590379592,3617006365941771296,66721990745506091437220972488277041273
TCP,2048,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,1695,6,0,0,0,0,0,0
TCP,1994,80,1,0,0,0,0,0,0
TCP,80,1695,825,72,18516,4740180,310652457007,5211883372140375601,96142278707895827213166546984410443637
TCP,1695,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2049,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,80,1994,6,0,0,0,0,0,0
TCP,1577,1027,1,0,0,0,0,0,0
TCP,1027,1577,6,0,0,0,0,0,0
UDP,55803,53,44,93,23933,6126849,401529176064,6736541717127823360,124267260997724842211110407223704106291
UDP,55803,53,45,255,65381,16737537,1096911224832,18403116551831093248,339477581190276377758442419077218644789
TCP,1580,1028,1,0,0,0,0,0,0
TCP,1028,1580,6,0,0,0,0,0,0
TCP,1583,1029,1,0,0,0,0,0,0
TCP,1029,1583,6,0,0,0,0,0,0
TCP,1586,1030,1,0,0,0,0,0,0
TCP,1030,1586,6,0,0,0,0,0,0
UDP,53,55803,105,255,65381,16737665,1096919646976,18403257851960164352,339480187717594934540885190554617459509
UDP,55803,53,44,159,40897,10469633,686137868288,11511483222047391744,212349384905909658101501746952577495298
UDP,53,55803,112,159,40897,10469761,686146290432,11511624522176462848,212351991433228214883944518429976310018
UDP,55803,53,45,208,53283,13640449,893940465664,14997832283585576960,276661173795722033108480474486313988917
UDP,59676,1900,97,77,19757,5057875,331472913729,5561192671786189640,102585897961028881314394952638804545583
UDP,53,55803,97,147,37755,9665409,633432277760,10627230145351581696,196037794703711786475101698963566377217
TCP,1589,1031,1,0,0,0,0,0,0
TCP,1031,1589,6,0,0,0,0,0,0
TCP,80,1992,6,0,0,0,0,0,0
TCP,1992,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1992,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1992,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,1992,6,0,0,0,0,0,0
TCP,80,1992,6,0,0,0,0,0,0
TCP,1592,1032,1,0,0,0,0,0,0
TCP,1032,1592,6,0,0,0,0,0,0
UDP,53,55803,99,235,60282,15432321,1011372621824,16968016932827627521,313004665798241360938661639590025180721
UDP,55803,53,43,253,64807,16590593,1087281102848,18241549915199176704,336497202793477386699665914184230056194
UDP,53,55803,113,253,64807,16590721,1087289524992,18241691215328247808,336499809320795943482108685661628870914
TCP,1933,1033,1,0,0,0,0,0,0
TCP,1033,1933,6,0,0,0,0,0,0
TCP,2035,443,1,0,0,0,0,0,0
TCP,443,2035,12,1,257,65797,4312074949,72344612840999461,310717746193874336267176486
UDP,53,55803,105,208,53283,13640577,893948887808,14997973583714648064,276663780323040589890923245963712803637
TCP,2043,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2043,6,0,0,0,0,0,0
TCP,2043,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2043,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2003,6,0,0,0,0,0,0
TCP,2003,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2003,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2003,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,1937,1034,1,0,0,0,0,0,0
TCP,1034,1937,6,0,0,0,0,0,0
TCP,2049,80,12,2,516,132101,8657417217,145247358651925250,623832655240401596203467778
TCP,1940,1035,1,0,0,0,0,0,0
TCP,1035,1940,6,0,0,0,0,0,0
TCP,80,2029,6,0,0,0,0,0,0
TCP,2029,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2029,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2029,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,55803,53,44,100,25737,6588673,431795273728,7244322575113846784,133634164530521671252979422601600775682
UDP,55803,53,43,235,60414,15465985,1013578792960,17005030342509264896,313687442693933888927531443809965716993
UDP,55930,53,44,244,62572,16018433,1049784025088,17612453342250860544,324892419314652046949900254888422947074
TCP,1943,1036,1,0,0,0,0,0,0
TCP,1036,1943,6,0,0,0,0,0,0
TCP,1946,1037,1,0,0,0,0,0,0
TCP,1037,1946,6,0,0,0,0,0,0
TCP,2011,80,1,0,0,0,0,0,0
TCP,2012,80,1,0,0,0,0,0,0
TCP,80,2011,12,1,257,65797,4312074897,72344611971704858,310717742460282444923578395
TCP,80,2012,12,1,257,65797,4312074982,72344613387065542,310717748539210296163129543
UDP,55930,53,44,93,23933,6126849,401529176064,6736541717127823360,124267260997724842211110407223704106291
TCP,1949,1038,1,0,0,0,0,0,0
TCP,1038,1949,6,0,0,0,0,0,0
UDP,53,55930,79,93,23933,6126981,401537860352,6736687415303405568,124269948654681813600234874490108065075
TCP,2045,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2044,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2044,6,0,0,0,0,0,0
TCP,80,2044,6,0,0,0,0,0,0
TCP,2044,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2044,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,80,2045,6,0,0,0,0,0,0
TCP,80,2045,6,0,0,0,0,0,0
TCP,2045,80,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2045,80,0,N/A,N/A,N/A,N/A,N/A,N/A
UDP,53,55803,97,235,60414,15466113,1013587215104,17005171642638336000,313690049221252445709974215287364531713
TCP,1952,1039,1,0,0,0,0,0,0
TCP,1039,1952,6,0,0,0,0,0,0
TCP,2048,21,12,85,21843,5591877,366469272096,6148334135323747437,26406894036095933615847640330
TCP,21,2048,33,51,13107,3355441,219902189648,3689346534603846515,68056431323064376907796337996829189489
TCP,2048,21,0,N/A,N/A,N/A,N/A,N/A,N/A
TCP,2048,21,12,80,20545,5259603,344693363488,5782995013011072109,24837774453813649195821567242
TCP,21,2048,48,53,13619,3486512,228492058702,3833460623135437856,70714867031622563134259521977883828329
